
Stack					Input	Action
KeywordWhile(Exp){ExpOpidOrNum					;KeywordPrintf(String,Id);IdOpOp;}	Reduce idOrNum->Id
KeywordWhile(Exp){ExpOpExp					;KeywordPrintf(String,Id);IdOpOp;}	Reduce Exp->idOrNum
KeywordWhile(Exp){Exp					;KeywordPrintf(String,Id);IdOpOp;}	Reduce Exp->ExpOpExp
KeywordWhile(Exp){Exp;					KeywordPrintf(String,Id);IdOpOp;}	Shift ;
KeywordWhile(Exp){Stmt					KeywordPrintf(String,Id);IdOpOp;}	Reduce Stmt->Exp;
KeywordWhile(Exp){StmtK					eywordPrintf(String,Id);IdOpOp;}	Shift K
KeywordWhile(Exp){StmtKe					ywordPrintf(String,Id);IdOpOp;}	Shift e
KeywordWhile(Exp){StmtKey					wordPrintf(String,Id);IdOpOp;}	Shift y
KeywordWhile(Exp){StmtKeyw					ordPrintf(String,Id);IdOpOp;}	Shift w
KeywordWhile(Exp){StmtKeywo					rdPrintf(String,Id);IdOpOp;}	Shift o
KeywordWhile(Exp){StmtKeywor					dPrintf(String,Id);IdOpOp;}	Shift r
KeywordWhile(Exp){StmtKeyword					Printf(String,Id);IdOpOp;}	Shift d
KeywordWhile(Exp){StmtKeywordP					rintf(String,Id);IdOpOp;}	Shift P
KeywordWhile(Exp){StmtKeywordPr					intf(String,Id);IdOpOp;}	Shift r
KeywordWhile(Exp){StmtKeywordPri					ntf(String,Id);IdOpOp;}	Shift i
KeywordWhile(Exp){StmtKeywordPrin					tf(String,Id);IdOpOp;}	Shift n
KeywordWhile(Exp){StmtKeywordPrint					f(String,Id);IdOpOp;}	Shift t
KeywordWhile(Exp){StmtKeywordPrintf					(String,Id);IdOpOp;}	Shift f
KeywordWhile(Exp){StmtKeywordPrintf(					String,Id);IdOpOp;}	Shift (
KeywordWhile(Exp){StmtKeywordPrintf(S					tring,Id);IdOpOp;}	Shift S
KeywordWhile(Exp){StmtKeywordPrintf(St					ring,Id);IdOpOp;}	Shift t
KeywordWhile(Exp){StmtKeywordPrintf(Str					ing,Id);IdOpOp;}	Shift r
KeywordWhile(Exp){StmtKeywordPrintf(Stri					ng,Id);IdOpOp;}	Shift i
KeywordWhile(Exp){StmtKeywordPrintf(Strin					g,Id);IdOpOp;}	Shift n
KeywordWhile(Exp){StmtKeywordPrintf(String					,Id);IdOpOp;}	Shift g
KeywordWhile(Exp){StmtKeywordPrintf(String,					Id);IdOpOp;}	Shift ,
KeywordWhile(Exp){StmtKeywordPrintf(String,I					d);IdOpOp;}	Shift I
KeywordWhile(Exp){StmtKeywordPrintf(String,Id					);IdOpOp;}	Shift d
KeywordWhile(Exp){StmtKeywordPrintf(String,idOrNum					);IdOpOp;}	Reduce idOrNum->Id
KeywordWhile(Exp){StmtKeywordPrintf(String,Exp					);IdOpOp;}	Reduce Exp->idOrNum
KeywordWhile(Exp){StmtKeywordPrintf(String,Exp)					;IdOpOp;}	Shift )
KeywordWhile(Exp){StmtKeywordPrintf(String,Exp);					IdOpOp;}	Shift ;
KeywordWhile(Exp){StmtPrintStmt					IdOpOp;}	Reduce PrintStmt->KeywordPrintf(String,Exp);
KeywordWhile(Exp){StmtStmt					IdOpOp;}	Reduce Stmt->PrintStmt
KeywordWhile(Exp){Stmts					IdOpOp;}	Reduce Stmts->StmtStmt
KeywordWhile(Exp){StmtsI					dOpOp;}	Shift I
KeywordWhile(Exp){StmtsId					OpOp;}	Shift d
KeywordWhile(Exp){StmtsidOrNum					OpOp;}	Reduce idOrNum->Id
KeywordWhile(Exp){StmtsExp					OpOp;}	Reduce Exp->idOrNum
KeywordWhile(Exp){StmtsExpO					pOp;}	Shift O
KeywordWhile(Exp){StmtsExpOp					Op;}	Shift p
KeywordWhile(Exp){StmtsExpOpO					p;}	Shift O
KeywordWhile(Exp){StmtsExpOpOp					;}	Shift p
KeywordWhile(Exp){StmtsExp					;}	Reduce Exp->ExpOpOp
KeywordWhile(Exp){StmtsExp;					}	Shift ;
KeywordWhile(Exp){StmtsStmt					}	Reduce Stmt->Exp;
KeywordWhile(Exp){Stmts					}	Reduce Stmts->StmtsStmt
KeywordWhile(Exp){Stmts}						Shift }
KeywordWhile(Exp)CompoundStmt						Reduce CompoundStmt->{Stmts}
WhileLoop						Reduce WhileLoop->KeywordWhile(Exp)CompoundStmt
Stmt						Reduce Stmt->WhileLoop

Accepted
